FID,osm_id,building,name,amenity,addr_house,layer,shop,operator,tourism,power,office,ref,brand,building_l,name_zh,min_level,website,name_en,wikipedia,architect_,wikidata,architect,air_condit,start_date,addr_stree,height,community_,wikimedia_,name_pt,alt_name_e,name_yue,name_ko,wikipedia_,name_th,alt_name,name_ru,name_vi,is_in_prov,is_in_coun,is_in_city,name_de,building_m,check_date,name_ja,short_name,addr_provi,is_in_co_1,name_uk,is_in_pr_1,building_c,addr_city,name_ja_ka,is_in_iso_,name_zh_pi,addr_count,descriptio,payment_no,addr_distr,operator_t,name_zh_Ha,wheelchair,name_zh__1,opening_ho,internet_a,level,addr_postc,phone,building_1,substation,building_p,government,min_levels,brand_wiki,brand_wi_1,building_r,x,y
43,299812756.000000000000000,office,珠江投资大厦, , , , , , , , , , ,17,珠江投资大厦, , ,Pearl River Investment Building, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.320366406000010,23.124686007400001
44,543830127.000000000000000,commercial, , , , , , , , , , , ,40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.321784904000000,23.124145578000000
45,299812752.000000000000000,commercial,保利V座, , , , , , , , , , ,3,保利V座, , ,Poly Tower V Building, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.321678531000000,23.124223538399999
46,543830128.000000000000000,commercial, , , , , , , , , , , ,40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.321729997000010,23.124482685200000
47,543830126.000000000000000,commercial, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.321565500000010,23.124990756100001
48,507573198.000000000000000,commercial, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.321542444000000,23.125278192500001
49,507573200.000000000000000,commercial,雅居乐中心, , , , , , , , , , ,39,雅居乐中心, , ,Agile Center, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.316524735000000,23.126905601200001
50,295928085.000000000000000,commercial,珠江城大厦, , , , , , , , , , ,71,珠江城大厦, ,http://www.som.com/projects/pearl_river_tower,Pearl River Tower,zh:珠江城大廈, ,Q249319, , , , ,309.6, ,Category:Pearl River Tower, , , , , , , , , , , , , ,glass,2021-04-22, , , , , , ,#002255, , , , , , , , , , , , , , , , , , , , , , , , , ,113.317560124000000,23.126767251299999
51,543830123.000000000000000,yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.317256468000000,23.127077726000000
52,312888944.000000000000000,office,富力盈信大厦, , , , , , , , , , ,41,富力盈信大厦, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.316565936999990,23.127764875499999
