FID,osm_id,operator,ref,name,public_tra,railway,highway,descriptio,name_en,name_zh,subway,start_date,wikipedia,bus,opening_ho,level,y,x
48,3930846786.000000000000000, , ,冼村路北站,platform, ,bus_stop, ,Xiancun Lu North,冼村路北站, , , ,yes, , ,23.128337200000001,113.322448700000000
49,4690639701.000000000000000, , ,珠江西路北站, , ,bus_stop, ,Zhujiang Xi Lu North,珠江西路北站, , , , , , ,23.128980500000001,113.318689800000000
50,5832393938.000000000000000,广州地铁,APM-06,黄埔大道,stop_position,stop, ,列车服务时间：每天07:04-23:33,Huangpu Dadao,黄埔大道,yes,2010-11-8, , , , ,23.129293700000002,113.319017700000000
51,6490092414.000000000000000,广州地铁,APM-06,黄埔大道,station,station, , ,Huangpu Dadao,黄埔大道, ,2010-11-8, , , , ,23.129359600000001,113.319071500000010
52,5832393946.000000000000000,广州地铁,APM-06,黄埔大道,stop_position,stop, ,列车服务时间：每天07:06-23:35,Huangpu Dadao,黄埔大道,yes,2010-11-8, , , , ,23.129423299999999,113.319124100000000
53,4690639700.000000000000000, , ,珠江东路北站,platform, ,bus_stop, ,Zhujiang Dong Lu North,珠江东路北站, , , ,yes, , ,23.129052399999999,113.319822100000000
54,4424623403.000000000000000, , ,人民日报广东分社站,platform, ,bus_stop, ,People's daily Guangdong Branch,人民日报广东分社站, , , ,yes, , ,23.129774099999999,113.319299200000000
55,4945233671.000000000000000,广州地铁集团有限公司,5-10,动物园,stop_position,stop, ,列车服务时间：每天06:14-23:50；往鱼珠-文冲各站末班车：每天23:35,Zoo,动物园,yes,2009-12-28, , , , ,23.137359700000001,113.301791700000000
56,4945233680.000000000000000,广州地铁集团有限公司,5-15,潭村,stop_position,stop, ,列车服务时间：每天06:10-次日00:00；往鱼珠-文冲各站末班车：每天23:45,Tancun,潭村,yes,2009-12-28, , , , ,23.120007600000001,113.340401500000000
57,4945233681.000000000000000,广州地铁集团有限公司,5-15,潭村,stop_position,stop, ,列车服务时间：每天06:16-23:15,Tancun,潭村,yes,2009-12-28, , , , ,23.120125800000000,113.340409100000000
58,4945233682.000000000000000,广州地铁集团有限公司,5-16,员村,stop_position,stop, ,列车服务时间：每天06:13-次日00:03；往鱼珠-文冲各站末班车：每天23:48,Yuancun,员村,yes, , , , , ,23.118043700000001,113.358208600000000
59,4945233683.000000000000000,广州地铁集团有限公司,5-16,员村,stop_position,stop, ,列车服务时间：每天06:13-23:12,Yuancun,员村,yes,2009-12-28, , , , ,23.118166899999999,113.358162800000000
60,4945233684.000000000000000,广州地铁集团有限公司,5-17,科韵路,stop_position,stop, ,列车服务时间：每天06:15-次日00:05；往鱼珠-文冲各站末班车：每天23:50,Keyun Lu,科韵路,yes,2009-12-28, , , , ,23.121477899999999,113.371839499999990
61,4945233685.000000000000000,广州地铁集团有限公司,5-17,科韵路,stop_position,stop, ,列车服务时间：每天06:11-23:10,Keyun Lu,科韵路,yes,2009-12-28, , , , ,23.121604900000001,113.371873800000000
62,4945233688.000000000000000,广州地铁集团有限公司,5-19,东圃,stop_position,stop, , ,Dongpu,东圃,yes,2009-12-28, , , , ,23.111649900000000,113.396187600000000
63,4945233689.000000000000000,广州地铁集团有限公司,5-19,东圃,stop_position,stop, , ,Dongpu,东圃,yes,2009-12-28, , , , ,23.111756900000000,113.396240500000000
64,4945233691.000000000000000,广州地铁集团有限公司,5-20,三溪,stop_position,stop, ,列车服务时间：每天06:23-23:57,Sanxi,三溪,yes,2009-12-28, , , , ,23.106570399999999,113.410341399999990
65,4945233690.000000000000000,广州地铁集团有限公司,5-20,三溪,stop_position,stop, ,列车服务时间：每天06:03-23:03,Sanxi,三溪,yes,2009-12-28, , , , ,23.106680799999999,113.410390800000000
66,4949124313.000000000000000,广州地铁集团有限公司,5-18,车陂南,stop_position,stop, ,列车服务时间：每天06:18-次日00:08；往鱼珠-文冲各站末班车：每天23:53,Chebeinan,车陂南,yes,2009-12-28, , , , ,23.118124500000000,113.384669700000000
67,4949124312.000000000000000,广州地铁集团有限公司,5-18,车陂南,stop_position,stop, ,列车服务时间：每天06:07-23:08,Chebeinan,车陂南,yes,2009-12-28, , , , ,23.118251300000001,113.384725200000010
68,11072372296.000000000000000,广州地铁集团有限公司, ,白云城市中心（暂定名）（未开通）,stop_position,stop, , ,Baiyun City Center(Planning Name)(Under Construction),白云城市中心（暂定名）（未开通）,yes, , , , , ,23.265473400000001,113.274336600000000
