FID,osm_id,layer,highway,tunnel,oneway,bicycle,foot,name,horse,service,access,junction,bridge,covered,constructi,proposed,lanes,name_en,name_zh,crossing,footway,name_zh_pi,sidewalk,conveying,handrail,incline,level,motor_vehi,sidewalk_r,maxheight,crossing_m,ramp_bicyc,oneway_bic,frequency,bus,lit,x_S,x_E,y_S,y_E
208,299795187.000000000000000,1,footway, , , , , , , , , ,yes, , , , , , , , , , , , , , , , , , , , , , , ,113.319554600000000,113.319310599999990,23.125968199999999,23.126015299999999
209,228124191.000000000000000,-1,secondary,yes,yes, , ,金穗路隧道, , , , , , , , , ,Jinsuilu Tunnel,金穗路隧道, , , , , , , , , , , , , , , , , ,113.320669400000000,113.317871800000010,23.125957100000001,23.126188800000001
210,299795150.000000000000000, ,footway, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.319826699999990,113.319554600000000,23.125911100000000,23.125968199999999
211,248407680.000000000000000, ,secondary_link, ,yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.320819000000000,113.320345000000000,23.124471400000001,23.125793500000000
212,547062355.000000000000000, ,footway, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.319826699999990,113.320141100000000,23.125911100000000,23.125985400000001
213,299795140.000000000000000, ,steps, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.320348800000000,113.320141100000000,23.125960800000001,23.125985400000001
214,1172188473.000000000000000,1,steps, , , , , , , , , ,yes, , , , , , , , , , , , ,down, , , , , , , , , , ,113.320753300000010,113.320992000000000,23.125672099999999,23.125654099999998
215,299795202.000000000000000,1,footway, , , , , , , , , ,yes, , , , , , , , , , , , , , , , , , , , , , , ,113.320753300000010,113.320753300000010,23.125672099999999,23.125672099999999
216,299795181.000000000000000, ,steps, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.320789400000000,113.321098100000000,23.126131699999998,23.126145999999999
217,243319591.000000000000000, ,tertiary, ,yes, , ,兴盛路, , , , , , , , , ,Xingsheng Road,兴盛路, , , , , , , , , , , , , , , , , ,113.320831400000000,113.322484200000010,23.123468400000000,23.123364200000001
218,587667683.000000000000000, ,tertiary, ,yes, , ,兴盛路, , , , , , , , , ,Xingsheng Road,兴盛路, , , , , , , , , , , , , , , , , ,113.322505800000000,113.320820299999990,23.123999999999999,23.124193000000002
219,1172188476.000000000000000, ,footway, , , , , , , , , , , , , , , , ,traffic_signals,crossing, , , , , , , , , ,yes, , , , , ,113.322176900000000,113.322236399999990,23.123513200000001,23.123598699999999
220,1172188483.000000000000000, ,footway, , , , , , , , , , , , , , , , , ,traffic_island, , , , , , , , , , , , , , , ,113.322236399999990,113.322269899999990,23.123598699999999,23.123646699999998
221,1172188481.000000000000000, ,footway, , , , , , , , , , , , , , , , ,traffic_signals,crossing, , , , , , , , , ,yes, , , , , ,113.322140800000000,113.322246300000000,23.123851999999999,23.123680400000001
222,1172188482.000000000000000, ,footway, , , , , , , , , , , , , , , , , ,traffic_island, , , , , , , , , , , , , , , ,113.322246300000000,113.322303700000010,23.123680400000001,23.123645000000000
223,334124302.000000000000000, ,secondary, ,yes, , ,冼村路, , , , , , , , , ,Xiancun Road,冼村路, , ,xiǎn cūn lù,right, , , , , , , , , ,no, , , ,113.322437400000000,113.322454300000000,23.125742100000000,23.122043099999999
224,299795146.000000000000000, ,footway, , , , , , , , , , , , , , , , , ,sidewalk, , , , , , , , , , , , , , , ,113.320992000000000,113.322140800000000,23.125654099999998,23.123851999999999
