FID,osm_id,layer,highway,tunnel,oneway,bicycle,foot,name,horse,service,access,junction,bridge,covered,constructi,proposed,lanes,name_en,name_zh,crossing,footway,name_zh_pi,sidewalk,conveying,handrail,incline,level,motor_vehi,sidewalk_r,maxheight,crossing_m,ramp_bicyc,oneway_bic,frequency,bus,lit,x_S,x_E,y_S,y_E
270,299795156.000000000000000, ,footway, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.319120500000000,113.319222200000000,23.126904900000000,23.126937800000000
271,299795180.000000000000000, ,footway, , , , , , , , , ,yes, , , , , , , , , , , , , , , , , , , , , , , ,113.319222200000000,113.319325600000000,23.126937800000000,23.126970100000001
272,299795162.000000000000000, ,footway, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.319325600000000,113.319564300000000,23.126970100000001,23.126996200000001
273,299795175.000000000000000, ,footway, , , , , , , , , ,yes, , , , , , , , , , , , , , , , , , , , , , , ,113.319442499999990,113.319377399999990,23.127186300000002,23.127237399999999
274,299795145.000000000000000,1,footway, , , , , , , , , ,yes, , , , , , , , , , , , , , , , , , , , , , , ,113.319564300000000,113.319609500000000,23.126996200000001,23.126998000000000
275,299795172.000000000000000, ,footway, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.319609500000000,113.319683299999990,23.126998000000000,23.126996599999998
276,299795159.000000000000000, ,footway, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.319377399999990,113.319282300000000,23.127237399999999,23.127312199999999
277,299795184.000000000000000, ,footway, , , , , , , , , ,yes, , , , , , , , , , , , , , , , , , , , , , , ,113.319282300000000,113.319180100000000,23.127312199999999,23.127392499999999
278,228123844.000000000000000, ,secondary_link, ,yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.320077000000000,113.319789500000000,23.126438600000000,23.127994000000001
279,299795170.000000000000000, ,footway, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.319121400000000,113.319087800000010,23.127914300000000,23.127921099999998
280,299795166.000000000000000, ,footway, , , , , , , , , ,yes, , , , , , , , , , , , , , , , , , , , , , , ,113.319200200000000,113.319318900000000,23.127688299999999,23.127675900000000
281,299795137.000000000000000, ,footway, , , , , , , , , ,yes, , , , , , , , , , , , , , , , , , , , , , , ,113.319233900000000,113.319121400000000,23.127891600000002,23.127914300000000
282,299795161.000000000000000, ,footway, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.319342100000000,113.319233900000000,23.127869700000002,23.127891600000002
283,299795153.000000000000000, ,footway, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.319487600000000,113.319437699999990,23.127840200000001,23.127850299999999
284,299795177.000000000000000, ,footway, , , , , , , , , ,yes, , , , , , , , , , , , , , , , , , , , , , , ,113.319437699999990,113.319342100000000,23.127850299999999,23.127869700000002
285,481045536.000000000000000, ,secondary, ,yes, , ,珠江东路, , , , , , , , , ,Zhujiang East Road,珠江东路, , , , , , , , , , , , , , , , , ,113.320390800000000,113.319740999999990,23.126387399999999,23.129087500000001
286,1024423914.000000000000000, ,unclassified, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.319789500000000,113.320907600000000,23.127994000000001,23.127974200000001
287,445078264.000000000000000, ,secondary, ,yes, , ,冼村路, , , , , , , , , ,Xiancun Road,冼村路, , , , , , , , , , , , , , , , , ,113.322469200000000,113.322440599999990,23.126758200000001,23.125843400000001
288,993462493.000000000000000, ,unclassified, , , , ,珠江东一街, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.322469200000000,113.320907600000000,23.126758200000001,23.127974200000001
289,988871489.000000000000000,-1,footway,yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.322735700000000,113.322447999999990,23.127596799999999,23.127595400000001
290,988871488.000000000000000, ,steps,yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.322447999999990,113.322448700000000,23.127595400000001,23.127824799999999
291,445078262.000000000000000, ,secondary, ,yes, , ,冼村路, , , , , , , , , ,Xiancun Road,冼村路, , , , , , , , , , , , , , , , , ,113.322476300000010,113.322469200000000,23.129437400000000,23.126758200000001
292,595786397.000000000000000, ,unclassified, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.320907600000000,113.322502400000000,23.127974200000001,23.128698100000001
293,27318112.000000000000000, ,secondary, ,yes, , ,珠江西路, , , , , , , , , ,Zhujiang West Road,珠江西路, , ,zhū jiāng xī lù, , , , , , , , , , , , , , ,113.318393200000000,113.318760400000000,23.129983800000002,23.129011899999998
294,496447344.000000000000000, ,footway, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.318746500000000,113.318981400000000,23.129535099999998,23.129741899999999
295,475301084.000000000000000, ,secondary_link, ,yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.319740999999990,113.318760400000000,23.129087500000001,23.129011899999998
296,932548280.000000000000000,-1,footway,yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.319286899999990,113.319280500000000,23.129730599999998,23.129433200000001
297,360088314.000000000000000, ,steps, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.319286899999990,113.318981400000000,23.129730599999998,23.129741899999999
298,360088313.000000000000000, ,steps, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.319286899999990,113.319600800000000,23.129730599999998,23.129719000000001
299,312565419.000000000000000,-1,footway,yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.319286899999990,113.319307700000000,23.129730599999998,23.130151300000001
300,932548283.000000000000000, ,footway, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.319600800000000,113.319841100000000,23.129719000000001,23.129677000000001
301,481045537.000000000000000, ,secondary, ,yes, , ,珠江东路, , , , , , , , , ,Zhujiang East Road,珠江东路, , , , , , , , , , , , , , , , , ,113.319740999999990,113.320372900000000,23.129087500000001,23.129788800000000
302,441997991.000000000000000, ,secondary, ,yes, , ,黄埔大道西, , , , , , , , , ,Huangpu Avenue West,黄埔大道西, , , , , , , , , , , , , , , , , ,113.318393200000000,113.322020100000000,23.129983800000002,23.129702999999999
303,440774131.000000000000000, ,primary_link, ,yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.322020100000000,113.322476300000010,23.129702999999999,23.129437400000000
304,1172178685.000000000000000, ,footway, , , , , , , , , , , , , , , , ,uncontrolled,crossing, , , , , , , , , ,yes, , , , , ,113.322398100000000,113.322301100000000,23.129638300000000,23.129556000000001
305,441997996.000000000000000, ,secondary, ,yes, , ,冼村路, , , , , , , , , ,Xiancun Road,冼村路, , , , , , , , , , , , , , , , , ,113.322487300000010,113.322476300000010,23.129671699999999,23.129437400000000
306,528055205.000000000000000, ,secondary, ,yes, , ,黄埔大道西, , , , , , , , , ,Huangpu Avenue West,黄埔大道西, , , , , , , , , , , , , , , , , ,113.322020100000000,113.322487300000010,23.129702999999999,23.129671699999999
307,699944682.000000000000000, ,unclassified, ,yes, , ,黄埔大道西, , ,no, , , , , , ,Huangpu Avenue West,黄埔大道西, , , , , , , , , , , , , , , ,yes, ,113.322487300000010,113.322658300000000,23.129671699999999,23.129663600000001
